Unnamed: 0,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_default_on_file_Y,Approval_Status
22,59000,RENT,123,PERSONAL,D,35000,16.02,1,0.593220339,Y,3,1,Approved
25,9600,MORTGAGE,1,MEDICAL,C,5500,12.87,1,0.572916667,N,3,0,Approved
23,65500,RENT,4,MEDICAL,C,35000,15.23,1,0.534351145,N,2,0,Approved
24,54400,RENT,8,MEDICAL,C,35000,14.27,1,0.643382353,Y,4,1,Approved
21,9900,OWN,2,VENTURE,A,2500,7.14,1,0.252525253,N,2,0,Approved
26,77100,RENT,8,EDUCATION,B,35000,12.42,1,0.453955901,N,3,0,Approved
24,78956,RENT,5,MEDICAL,B,35000,11.11,1,0.443284868,N,4,0,Approved
24,83000,RENT,8,PERSONAL,A,35000,8.9,1,0.421686747,N,2,0,Approved
21,10000,OWN,6,VENTURE,D,1600,14.74,1,0.16,N,3,0,Approved
22,85000,RENT,6,VENTURE,B,35000,10.37,1,0.411764706,N,4,0,Approved
21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0,Approved
23,95000,RENT,2,VENTURE,A,35000,7.9,1,0.368421053,N,2,0,Approved
26,108160,RENT,4,EDUCATION,E,35000,18.39,1,0.323594675,N,4,0,Approved
23,92111,RENT,7,MEDICAL,F,35000,20.25,1,0.379976333,N,4,0,Approved
23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,1,0.309734513,N,4,0,Approved
24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,0.162037037,N,2,0,Approved
22,65000,RENT,4,EDUCATION,D,34000,17.58,1,0.523076923,N,4,0,Approved
22,80000,RENT,3,PERSONAL,D,33950,14.54,1,0.424375,Y,4,1,Approved
24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,1,0.48711363,N,3,0,Approved
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.415909091,Y,3,1,Approved
24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0,Approved
21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.351216086,Y,2,1,Approved
